Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,Constituency number
Mohan Lal,Independent,521,0,521,0.21,Bijnor,22
NOTA,None of the Above,1107,7,1114,0.44,Bijnor,22
AKHILESH YADAV,Indian National Congress,4384,10,4394,1.82,Bikapur,274
AMIT SINGH CHAUHAN,Bharatiya Janata Party,106907,361,107268,44.34,Bikapur,274
FIROZ KHAN,Samajwadi Party,101052,656,101708,42.04,Bikapur,274
MADHU DWIVEDI,Communist Party of India,1592,0,1592,0.66,Bikapur,274
SUNIL,Bahujan Samaj Party,21299,86,21385,8.84,Bikapur,274
JANG BAHADUR,Moulik Adhikar Party,676,1,677,0.28,Bikapur,274
DISHA PATEL,Apana Dal Balihari Party,755,2,757,0.31,Bikapur,274
RAJ KUMAR,Jan Adhikar Party,389,2,391,0.16,Bikapur,274
SUNIL KUMAR,Aam Aadmi Party,616,2,618,0.26,Bikapur,274
HAJARI LAL,Rashtriya Bhagidari Party,1140,4,1144,0.47,Bikapur,274
BHUPENDRA PRATAP,Independent,621,0,621,0.26,Bikapur,274
NOTA,None of the Above,1379,3,1382,0.57,Bikapur,274
ANIL KUMAR,Bahujan Samaj Party,42310,101,42411,17.76,Bilari,30
KALPANA SINGH,Indian National Congress,1406,5,1411,0.59,Bilari,30
PARMESHWAR LAL,Bharatiya Janata Party,87503,225,87728,36.73,Bilari,30
MOHAMMAD FAHEEM IRFAN,Samajwadi Party,94983,355,95338,39.92,Bilari,30
KHALID ZAMAN,All India Majlis-E-Ittehadul Muslimeen,9233,2,9235,3.87,Bilari,30
PRAKASH CHANDRA,Aam Aadmi Party,836,1,837,0.35,Bilari,30
SHAKIL AHAMAD SABRI,Peace Party,467,0,467,0.2,Bilari,30
NOTA,None of the Above,1416,1,1417,0.59,Bilari,30
Amarjeet Singh,Samajwadi Party,101297,394,101691,43.04,Bilaspur,36
Baldev Singh Aulakh,Bharatiya Janata Party,101799,199,101998,43.17,Bilaspur,36
Ramautar Kashyap,Bahujan Samaj Party,18806,64,18870,7.99,Bilaspur,36
Sanjay Kapoor,Indian National Congress,9761,53,9814,4.15,Bilaspur,36
Jagdish Saran Patel,Janata Dal  (United),520,2,522,0.22,Bilaspur,36
Nirmal Singh,Aam Aadmi Party,389,2,391,0.17,Bilaspur,36
Boopram,Bharatiya Subhash Sena,228,1,229,0.1,Bilaspur,36
Om Radheshyam Lodhi,Independent,221,0,221,0.09,Bilaspur,36
Krishan Kant Parmeshwari,Independent,624,0,624,0.26,Bilaspur,36
Harjeet Singh,Independent,701,1,702,0.3,Bilaspur,36
NOTA,None of the Above,1196,1,1197,0.51,Bilaspur,36
ASHISH KUMAR SINGH 'ASHU',Bharatiya Janata Party,81732,343,82075,34.96,Bilgram-Mallanwan,159
KRISHNA KUMAR SINGH,Bahujan Samaj Party,35569,195,35764,15.23,Bilgram-Mallanwan,159
BRIJESH KUMAR VERMA,Samajwadi Party,56155,1030,57185,24.36,Bilgram-Mallanwan,159
SUBHASH PAL,Indian National Congress,52284,114,52398,22.32,Bilgram-Mallanwan,159
DEEPAK KUMAR,Aam Aadmi Party,1466,8,1474,0.63,Bilgram-Mallanwan,159
MADHURI SINGH,Bhartiya Shakti Chetna Party,194,0,194,0.08,Bilgram-Mallanwan,159
SHYAM MOHAN PANDEY,Satya Bahumat Party,242,0,242,0.1,Bilgram-Mallanwan,159
DEEPIKA SUMAN,Independent,153,0,153,0.07,Bilgram-Mallanwan,159
RAMESH CHANDRA,Independent,208,0,208,0.09,Bilgram-Mallanwan,159
VIMLA DEVI,Independent,1090,0,1090,0.46,Bilgram-Mallanwan,159
SHABNUM ATTRI,Independent,624,0,624,0.27,Bilgram-Mallanwan,159
C. K. SINGH,Independent,703,7,710,0.3,Bilgram-Mallanwan,159
SONIKA VERMA,Independent,829,0,829,0.35,Bilgram-Mallanwan,159
NOTA,None of the Above,1816,2,1818,0.77,Bilgram-Mallanwan,159
USHA RANI,Indian National Congress,2502,8,2510,1.03,Bilhaur,209
MADHU SINGH GAUTAM,Bahujan Samaj Party,31364,62,31426,12.85,Bilhaur,209
RACHNA SINGH,Samajwadi Party,80420,323,80743,33.02,Bilhaur,209
MOHIT SONKAR,Bharatiya Janata Party,122725,369,123094,50.34,Bilhaur,209
MONU BABU,Voters Party  International,1485,0,1485,0.61,Bilhaur,209
SHRAVAN KUMAR,Bhartiya Shakti Chetna Party,609,0,609,0.25,Bilhaur,209
SATYENDRA,Aam Aadmi Party,559,0,559,0.23,Bilhaur,209
ARKESHWAR SAHAI,Independent,579,0,579,0.24,Bilhaur,209
UDAN LAL,Independent,718,0,718,0.29,Bilhaur,209
RAMDAS,Independent,1152,1,1153,0.47,Bilhaur,209
NOTA,None of the Above,1663,1,1664,0.68,Bilhaur,209
ANKIT CHAUHAN,Indian National Congress,1889,1,1890,0.92,Bilsi,114
CHANDRA PRAKASH MAURYA,Samajwadi Party,68016,369,68385,33.31,Bilsi,114
MAMTA SHAKYA,Bahujan Samaj Party,31604,90,31694,15.44,Bilsi,114
HARISH CHANDRA,Bharatiya Janata Party,93329,171,93500,45.54,Bilsi,114
KISHOR KUMAR,Rashtriya Shoshit Samaj Party,1409,2,1411,0.69,Bilsi,114
DEVENDRA,Aam Aadmi Party,578,1,579,0.28,Bilsi,114
MIR HADI ALI URF BABAR MIYAN,Aazad Samaj Party (Kanshi Ram),2789,1,2790,1.36,Bilsi,114
VEER PAL SINGH,Rashtriya Parivartan Dal,2026,7,2033,0.99,Bilsi,114
SHAILENDRA KUMAR MISHRA,Jansatta Dal Loktantrik,615,0,615,0.3,Bilsi,114
DEENANATH,Independent,558,1,559,0.27,Bilsi,114
RAJARAM SHAKYA,Independent,690,0,690,0.34,Bilsi,114
NOTA,None of the Above,1173,0,1173,0.57,Bilsi,114
Abhimanyu Singh,Indian National Congress,5612,25,5637,2.95,Bindki,239
Ganga Vishun,Communist Party of India,1980,9,1989,1.04,Bindki,239
Rameshwar Dayal,Samajwadi Party,73823,545,74368,38.97,Bindki,239
Sushil Kumar,Bahujan Samaj Party,23290,68,23358,12.24,Bindki,239
Jay Kumar  Singh  Jaiki,Apna Dal (Soneylal),77973,192,78165,40.96,Bindki,239
MANOJ KUMAR,Aam Aadmi Party,1178,8,1186,0.62,Bindki,239
MAHENDRA PAL KEWAT,Desh Bachao Party,905,0,905,0.47,Bindki,239
Laxmi Sagar,Jan Adhikar Party,2068,2,2070,1.08,Bindki,239
Roshani Rajpoot,Sabka Dal United,756,4,760,0.4,Bindki,239
Shivbali,Independent,653,4,657,0.34,Bindki,239
NOTA,None of the Above,1719,7,1726,0.9,Bindki,239
ANIS AHMED KHAN PHOOL BABU,Bahujan Samaj Party,35841,142,35983,15.02,Bisalpur,130
DIVYA GANGWAR,Samajwadi Party,69913,820,70733,29.52,Bisalpur,130
BHEEMSEN SHARMA,Communist Party of India,1770,4,1774,0.74,Bisalpur,130
VIVEK KUMAR VERMA,Bharatiya Janata Party,120787,355,121142,50.55,Bisalpur,130
SHIKHA PANDEY,Indian National Congress,1376,6,1382,0.58,Bisalpur,130
GIRISH SHRIVASTAVA,Naitik Party,362,0,362,0.15,Bisalpur,130
DHARAMPAL GANGWAR,Aam Aadmi Party,647,5,652,0.27,Bisalpur,130
MANOJ SINGH KUSHWAHA,Jan Adhikar Party,472,1,473,0.2,Bisalpur,130
RAJARAM MATHUR,Aazad Samaj Party (Kanshi Ram),527,4,531,0.22,Bisalpur,130
RAJESH KUMAR,Sabka Dal United,505,3,508,0.21,Bisalpur,130
NITIN PATHAK,Independent,2869,11,2880,1.2,Bisalpur,130
PRADEEP KUMAR,Independent,801,2,803,0.34,Bisalpur,130
RAJESH CHANDRA ARVIND,Independent,528,1,529,0.22,Bisalpur,130
SUSHIL KUMAR SHUKLA,Independent,635,0,635,0.26,Bisalpur,130
NOTA,None of the Above,1236,2,1238,0.52,Bisalpur,130
ASHUTOSH MAURYA URF RAJU,Samajwadi Party,110111,458,110569,44.23,Bisauli,112
KUSHAGRA SAGAR,Bharatiya Janata Party,108525,210,108735,43.5,Bisauli,112
JAYPAL SINGH,Bahujan Samaj Party,23414,40,23454,9.38,Bisauli,112
PRAGYA YASHODA,Indian National Congress,1088,1,1089,0.44,Bisauli,112
REKHA CHANDRA,Jan Adhikar Party,2068,4,2072,0.83,Bisauli,112
HARI PRAKASH ARYA,Sanyukt Samajwadi Dal,765,0,765,0.31,Bisauli,112
GAUTAM KUMAR,Independent,609,1,610,0.24,Bisauli,112
SURENDRA,Independent,883,0,883,0.35,Bisauli,112
NOTA,None of the Above,1785,2,1787,0.71,Bisauli,112
AFZAAL KAUSAR,Samajwadi Party,95119,417,95536,40.35,Biswan,149
NIRMAL VERMA,Bharatiya Janata Party,105798,216,106014,44.77,Biswan,149
VANDANA BHARRGAVA,Indian National Congress,4660,5,4665,1.97,Biswan,149
HASHIM ALI,Bahujan Samaj Party,24016,70,24086,10.17,Biswan,149
ADARSH,Aam Aadmi Party,523,0,523,0.22,Biswan,149
RAM KISHOR VERMA,Janata Dal  (United),302,0,302,0.13,Biswan,149
RAMLAKHAN GAUTAM,Prajashakti Party Samdarshi,634,0,634,0.27,Biswan,149
NATTHARAM,Independent,360,0,360,0.15,Biswan,149
"RIAZUDDIN ""RAZU""",Independent,262,0,262,0.11,Biswan,149
SHASHIKALA VERMA,Independent,316,0,316,0.13,Biswan,149
SALIL SETH,Independent,1689,4,1693,0.71,Biswan,149
SAHAJRAM,Independent,814,0,814,0.34,Biswan,149
NOTA,None of the Above,1581,0,1581,0.67,Biswan,149
AGAM KUMAR MAURYA,Samajwadi Party,99030,546,99576,40.15,BithariChainpur,123
ALKA SINGH,Indian National Congress,1474,8,1482,0.6,BithariChainpur,123
ASHISH PATEL,Bahujan Samaj Party,22615,112,22727,9.16,BithariChainpur,123
DR. RAGHAVENDRA SHARMA,Bharatiya Janata Party,115063,354,115417,46.53,BithariChainpur,123
SATISH KUMAR SINGH,Communist Party of India,1581,0,1581,0.64,BithariChainpur,123
AHMAD HUSAIN,Aazad Samaj Party (Kanshi Ram),308,0,308,0.12,BithariChainpur,123
TOUFEEQ,All India Majlis-E-Ittehadul Muslimeen,2856,2,2858,1.15,BithariChainpur,123
PAPPU SAGAR,Aam Aadmi Party,194,1,195,0.08,BithariChainpur,123
PRITI KASHYAP,Rashtriya Mazdoor Ekta Party,436,0,436,0.18,BithariChainpur,123
ABDUL FAHIM,Independent,327,0,327,0.13,BithariChainpur,123
DEVENDRA KUMAR,Independent,319,0,319,0.13,BithariChainpur,123
MANOJ SINGH,Independent,705,0,705,0.28,BithariChainpur,123
SURESH GIRI,Independent,499,0,499,0.2,BithariChainpur,123
SANGH PRIYA,Independent,317,0,317,0.13,BithariChainpur,123
NOTA,None of the Above,1283,0,1283,0.52,BithariChainpur,123
ABHIJEET SINGH,Bharatiya Janata Party,106910,420,107330,44.46,Bithoor,210
ASHOK KUMAR,Indian National Congress,4438,9,4447,1.84,Bithoor,210
MUNINDRA SHUKLA,Samajwadi Party,85915,342,86257,35.73,Bithoor,210
RAMESH SINGH YADAV,Bahujan Samaj Party,36882,73,36955,15.31,Bithoor,210
KIRAN,Jan Adhikar Party,2146,4,2150,0.89,Bithoor,210
CHANDRA PAL,Rashtriya Samaj Paksha,995,0,995,0.41,Bithoor,210
PUNEET KUMAR,Bhartiya Shakti Chetna Party,810,2,812,0.34,Bithoor,210
SOM NATH PAL,Aam Aadmi Party,693,1,694,0.29,Bithoor,210
NOTA,None of the Above,1757,2,1759,0.73,Bithoor,210
Anees,Bahujan Samaj Party,10360,37,10397,4.07,Budhana,11
Umesh Malik,Bharatiya Janata Party,102094,689,102783,40.21,Budhana,11
Devendra Kumar,Indian National Congress,2439,13,2452,0.96,Budhana,11
Rajpal Singh Baliyan,Rashtriya Lok Dal,130516,577,131093,51.28,Budhana,11
Devendra Malik Pahalwan,Aam Aadmi Party,1032,9,1041,0.41,Budhana,11
Captain Neel Kumar,Jai Samta Party,243,0,243,0.1,Budhana,11
Bheem Singh,All India Majlis-E-Ittehadul Muslimeen,2629,4,2633,1.03,Budhana,11
Saleem,Aazad Samaj Party (Kanshi Ram),2096,3,2099,0.82,Budhana,11
Anu Kumar,Independent,809,1,810,0.32,Budhana,11
Arvind Kumar,Independent,321,1,322,0.13,Budhana,11
Rajendra Kumar,Independent,681,0,681,0.27,Budhana,11
NOTA,None of the Above,1067,3,1070,0.42,Budhana,11
Pradeep Kumar Chaudhary,Bharatiya Janata Party,125995,1081,127076,48.94,Bulandshahr,65
Mohd. Mobin Kallu Qureshi,Bahujan Samaj Party,24147,226,24373,9.39,Bulandshahr,65
Mohammad Yunus,Rashtriya Lok Dal,100649,597,101246,38.99,Bulandshahr,65
Sushil Chaudhry,Indian National Congress,2733,28,2761,1.06,Bulandshahr,65
Tariq Khan,All India Minorities Front,222,2,224,0.09,Bulandshahr,65
Madhu Bhati,Peace Party,186,1,187,0.07,Bulandshahr,65
Vikas Sharma,Aam Aadmi Party,1408,22,1430,0.55,Bulandshahr,65
Gita Rani Sharma,Independent,218,2,220,0.08,Bulandshahr,65
Mukesh Bhardwaj,Independent,166,1,167,0.06,Bulandshahr,65
Satish,Independent,532,0,532,0.2,Bulandshahr,65
Sonali Singh,Independent,378,3,381,0.15,Bulandshahr,65
NOTA,None of the Above,1065,8,1073,0.41,Bulandshahr,65
ATAL BIHARI SINGH,Communist Party of India,1630,2,1632,0.73,Caimpiyarganj,320
KAJAL NISHAD,Samajwadi Party,78636,740,79376,35.37,Caimpiyarganj,320
CHANDRA PRAKASH NISHAD,Bahujan Samaj Party,13096,57,13153,5.86,Caimpiyarganj,320
FATEH BAHADUR,Bharatiya Janata Party,121505,527,122032,54.38,Caimpiyarganj,320
SURENDRA KUMAR NISHAD,Indian National Congress,2588,4,2592,1.16,Caimpiyarganj,320
KAUSHAL KUMAR SINGH,Aam Aadmi Party,378,2,380,0.17,Caimpiyarganj,320
JATASHANKAR,Jan Adhikar Party,308,1,309,0.14,Caimpiyarganj,320
MUNIB NISHAD,Bharatiya Eklavya Party,291,2,293,0.13,Caimpiyarganj,320
VINOD SINGH FAUZI,Bhartiya Kisan Union Samaj Party,633,2,635,0.28,Caimpiyarganj,320
VINDHYVASINI SINGH NISHAD,Indian National League,883,0,883,0.39,Caimpiyarganj,320
DHANUSHDHARI KUMAR,Independent,904,0,904,0.4,Caimpiyarganj,320
NAVIMUHAMAD,Independent,438,0,438,0.2,Caimpiyarganj,320
RAMPAL,Independent,611,0,611,0.27,Caimpiyarganj,320
NOTA,None of the Above,1149,6,1155,0.51,Caimpiyarganj,320
Atul Kumar Dwivedi,Bahujan Samaj Party,31283,79,31362,14,Chail,253
Talat Azim,Indian National Congress,4040,15,4055,1.81,Chail,253
Pooja Pal,Samajwadi Party,88191,627,88818,39.65,Chail,253
Anil Kumar Kesharwani,Jansatta Dal Loktantrik,5074,15,5089,2.27,Chail,253
Danish Ali,Bahujan Mukti Party,2776,19,2795,1.25,Chail,253
Nagendra Pratap Singh Patel,Apna Dal (Soneylal),75472,137,75609,33.76,Chail,253
Mohibbul Haque,All India Majlis-E-Ittehadul Muslimeen,3201,7,3208,1.43,Chail,253
Rajeev Kumar,Lok Janshakti Party(Ram Vilas),648,1,649,0.29,Chail,253
Rajendra Kumar Singh Patel,Aazad Samaj Party (Kanshi Ram),1959,1,1960,0.88,Chail,253
Shashibhushan,Akhil Bharatiya Socialist Party,1161,5,1166,0.52,Chail,253
Archana Gautam,Independent,1239,2,1241,0.55,Chail,253
Amrawati,Independent,2868,1,2869,1.28,Chail,253
Vijay Kumar Ramdas Ravidas,Independent,1189,0,1189,0.53,Chail,253
Sushil Chauhan,Independent,1408,0,1408,0.63,Chail,253
Sanjay Singh,Independent,606,0,606,0.27,Chail,253
NOTA,None of the Above,1957,3,1960,0.88,Chail,253
KAILASH,Bharatiya Janata Party,97600,212,97812,39.63,Chakia,383
JAINATH,Communist Party of India  (Marxist),2405,1,2406,0.97,Chakia,383
JITENDRA KUMAR,Samajwadi Party,88011,550,88561,35.88,Chakia,383
RAM SUMER RAM,Indian National Congress,2046,3,2049,0.83,Chakia,383
VIKAS AZAD,Bahujan Samaj Party,44463,67,44530,18.04,Chakia,383
ANIL,Communist Party of India  (Marxist-Leninist)  (Liberation),1179,0,1179,0.48,Chakia,383
RAMKISHUN,Sarvjan Sanatan Party,672,0,672,0.27,Chakia,383
SUBASH SONAKAR,Jan Adhikar Party,5140,8,5148,2.09,Chakia,383
KAMALA SHANKR,Independent,888,1,889,0.36,Chakia,383
RAMAVADH KHARWAR,Independent,1036,1,1037,0.42,Chakia,383
NOTA,None of the Above,2510,1,2511,1.02,Chakia,383
Abdul Mustafa Husain,Bahujan Samaj Party,10298,68,10366,5.17,Chamraua,35
Ali Yusuf Ali,Indian National Congress,18188,25,18213,9.08,Chamraua,35
Naseer Ahmad Khan,Samajwadi Party,100573,403,100976,50.34,Chamraua,35
Mohan Kumar Lodhi,Bharatiya Janata Party,66528,158,66686,33.24,Chamraua,35
Jitender Kumar,Sabka Dal United,677,2,679,0.34,Chamraua,35
Zubair,Jagrook Janta Party,196,0,196,0.1,Chamraua,35
Zulfiqar Ali Turk,Aam Aadmi Party,419,4,423,0.21,Chamraua,35
Akhilesh Kumar,Independent,271,0,271,0.14,Chamraua,35
Kripal Singh,Independent,330,1,331,0.17,Chamraua,35
Faheem Ahmed,Independent,893,0,893,0.45,Chamraua,35
Rajpal,Independent,586,0,586,0.29,Chamraua,35
NOTA,None of the Above,981,0,981,0.49,Chamraua,35
GULAB DEBI,Bharatiya Janata Party,112395,495,112890,49.53,Chandausi,31
MITHLESH KUMARI,Indian National Congress,1588,7,1595,0.7,Chandausi,31
RAN VIJAY SINGH,Bahujan Samaj Party,30335,146,30481,13.37,Chandausi,31
KM VIMLESH KUMARI,Samajwadi Party,76975,548,77523,34.01,Chandausi,31
ANIL BABU,Rashtriya Parivartan Dal,711,1,712,0.31,Chandausi,31
RAVINDRA KUMAR,Aazad Samaj Party (Kanshi Ram),347,2,349,0.15,Chandausi,31
SACHIN KUMAR,Aam Aadmi Party,665,2,667,0.29,Chandausi,31
Tejpal,Independent,175,2,177,0.08,Chandausi,31
MANJU,Independent,586,3,589,0.26,Chandausi,31
RAJESH,Independent,579,2,581,0.25,Chandausi,31
VIJAY PAL,Independent,310,1,311,0.14,Chandausi,31
NOTA,None of the Above,2054,5,2059,0.9,Chandausi,31
UDAY TYAGI,Indian National Congress,1468,16,1484,0.66,Chandpur,23
KAMLESH SAINI,Bharatiya Janata Party,89845,443,90288,40.24,Chandpur,23
SHAKEEL AHMAD,Bahujan Samaj Party,37214,145,37359,16.65,Chandpur,23
SWAMI OMVESH,Samajwadi Party,90034,488,90522,40.34,Chandpur,23
AJAY PAL SINGH,Peoples Party of India (Democratic),754,1,755,0.34,Chandpur,23
KRISHAN KUMAR,Aazad Samaj Party (Kanshi Ram),343,2,345,0.15,Chandpur,23
MANOJ KUMAR,Aam Aadmi Party,363,1,364,0.16,Chandpur,23
YASIR ARAFAT,All India Majlis-E-Ittehadul Muslimeen,1583,3,1586,0.71,Chandpur,23
RAVINDRANATH TYAGI,Independent,391,0,391,0.17,Chandpur,23
VIJAY PAL SINGH,Independent,426,0,426,0.19,Chandpur,23
NOTA,None of the Above,853,1,854,0.38,Chandpur,23
NIRDOSH KUMAR DIXIT,Indian National Congress,7156,31,7187,3.22,Charkhari,231
BRIJBHUSHAN RAJPUT,Bharatiya Janata Party,101734,317,102051,45.75,Charkhari,231
RAMJEEVAN,Samajwadi Party,59644,526,60170,26.97,Charkhari,231
VINOD KUMAR,Bahujan Samaj Party,40974,113,41087,18.42,Charkhari,231
KUNVARLAL,Right to Recall Party,1057,1,1058,0.47,Charkhari,231
PREMNARAYAN,Aam Aadmi Party,1245,0,1245,0.56,Charkhari,231
SANTOSH SINGH,Jan Adhikar Party,5061,13,5074,2.27,Charkhari,231
ANIL KUMAR SINGH GOUR,Independent,1976,1,1977,0.89,Charkhari,231
BHUVANENDRA NARAYAN SINGH,Independent,973,0,973,0.44,Charkhari,231
NOTA,None of the Above,2253,3,2256,1.01,Charkhari,231
Pankaj Kumar Malik,Samajwadi Party,97068,295,97363,43.82,Charthawal,12
Yasmeen Rao,Indian National Congress,956,9,965,0.43,Charthawal,12
Sapna Kashyap,Bharatiya Janata Party,91649,380,92029,41.42,Charthawal,12
Salman Sayeed,Bahujan Samaj Party,25070,61,25131,11.31,Charthawal,12
Kapil Kumar,Rashtriya Samaj Paksha,366,1,367,0.17,Charthawal,12
Tarun Singh,Aazad Samaj Party (Kanshi Ram),671,3,674,0.3,Charthawal,12
Tahir Husain Ansari,All India Majlis-E-Ittehadul Muslimeen,3232,2,3234,1.46,Charthawal,12
Yawar Roshan,Aam Aadmi Party,95,2,97,0.04,Charthawal,12
Sangeeta,Jai Samta Party,125,0,125,0.06,Charthawal,12
Ajay Kashyap,Independent,207,1,208,0.09,Charthawal,12
Abhishek,Independent,337,0,337,0.15,Charthawal,12
Chanderveer,Independent,435,0,435,0.2,Charthawal,12
Saleem Malik,Independent,347,0,347,0.16,Charthawal,12
NOTA,None of the Above,874,4,878,0.4,Charthawal,12
JITENDRA,Indian National Congress,1726,15,1741,0.85,Chauri-Chaura,326
BRIJESH CHANDRA LAL,Samajwadi Party,50268,563,50831,24.68,Chauri-Chaura,326
VIRENDRA,Bahujan Samaj Party,24968,109,25077,12.18,Chauri-Chaura,326
SARVAN KUMAR NISHAD,Bharatiya Janata Party,91626,332,91958,44.65,Chauri-Chaura,326
AKHILESH,Aam Aadmi Party,1130,6,1136,0.55,Chauri-Chaura,326
RAMESH PRASAD,Jan Adhikar Party,1596,1,1597,0.78,Chauri-Chaura,326
RAMNATH,Vikassheel Insaan Party,322,0,322,0.16,Chauri-Chaura,326
RAHUL,Satya Bahumat Party,240,0,240,0.12,Chauri-Chaura,326
SONU RAI,Mera Adhikaar Rashtriya Dal,227,1,228,0.11,Chauri-Chaura,326
SANJAY KUMAR SHARMA,Aam Janta Party (India),433,0,433,0.21,Chauri-Chaura,326
AJAY KUMAR SINGH,Independent,29482,100,29582,14.36,Chauri-Chaura,326
RAKESH,Independent,814,0,814,0.4,Chauri-Chaura,326
RADHIKA,Independent,779,0,779,0.38,Chauri-Chaura,326
NOTA,None of the Above,1210,4,1214,0.59,Chauri-Chaura,326
KIRTI,Samajwadi Party,64046,343,64389,29.71,Chhanbey,395
DHANESHWAR,Bahujan Samaj Party,32084,61,32145,14.83,Chhanbey,395
BHAGWATI  PRASAD  CHAUDHARY,Indian National Congress,3916,19,3935,1.82,Chhanbey,395
DHARMRAJ KOL,Communist Party of India  (Marxist-Leninist)  (Liberation),1688,0,1688,0.78,Chhanbey,395
RAHUL PRAKASH KOL,Apna Dal (Soneylal),102366,136,102502,47.29,Chhanbey,395
SHIV PUJAN,Rashtriya Samaj Paksha,3228,2,3230,1.49,Chhanbey,395
SAROJ SARGAM,Bahujan Mukti Party,3031,4,3035,1.4,Chhanbey,395
SARVESH KUMAR,Jan Adhikar Party,2589,2,2591,1.2,Chhanbey,395
NOTA,None of the Above,3219,5,3224,1.49,Chhanbey,395
Ajay Kumar,Rashtriya Lok Dal,110940,940,111880,53.3,Chhaprauli,50
Mohd. Yunus,Indian National Congress,1222,17,1239,0.59,Chhaprauli,50
Sahender Singh Ramala,Bharatiya Janata Party,81357,1015,82372,39.24,Chhaprauli,50
Sahik,Bahujan Samaj Party,9740,34,9774,4.66,Chhaprauli,50
Anees,All India Majlis-E-Ittehadul Muslimeen,1352,1,1353,0.64,Chhaprauli,50
Kaptan,Akhil Bhartiya Lok Dal,233,2,235,0.11,Chhaprauli,50
Chandrapal,Indian Nationalist Alliance Party (India),258,1,259,0.12,Chhaprauli,50
Naresh,Bhartiya Tarak Samaj Party,267,4,271,0.13,Chhaprauli,50
Dr. Rajendra Khokhar,Aam Aadmi Party,496,12,508,0.24,Chhaprauli,50
Satveer Kashyap,Vikassheel Insaan Party,758,1,759,0.36,Chhaprauli,50
Ajay Kumar,Independent,366,2,368,0.18,Chhaprauli,50
NOTA,None of the Above,883,3,886,0.42,Chhaprauli,50
AKHILESH KUMAR,Indian National Congress,1786,6,1792,0.74,Chharra,74
TILAK RAJ,Bahujan Samaj Party,37424,134,37558,15.45,Chharra,74
RAVENDRA PAL SINGH,Bharatiya Janata Party,110928,365,111293,45.79,Chharra,74
LAXMI DHANGAR,Samajwadi Party,86480,486,86966,35.78,Chharra,74
YAD KARAN SINGH,Jan Adhikar Party,1613,2,1615,0.66,Chharra,74
RAJESH KUMAR SHARMA,Bharatiya Subhash Sena,213,0,213,0.09,Chharra,74
SUSHIL KUMAR,Aam Aadmi Party,368,3,371,0.15,Chharra,74
AKSHAY KUMAR,Independent,534,0,534,0.22,Chharra,74
JASYEER,Independent,812,0,812,0.33,Chharra,74
SATISH KUMAR,Independent,877,0,877,0.36,Chharra,74
NOTA,None of the Above,1024,3,1027,0.42,Chharra,74
KULBHANU KUMAR,Communist Party of India,1222,3,1225,0.51,Chhata,81
TEJPAL SINGH,Rashtriya Lok Dal,75224,242,75466,31.65,Chhata,81
POONAM  DEVI,Indian National Congress,1474,7,1481,0.62,Chhata,81
LAXMI NARAYAN,Bharatiya Janata Party,123976,438,124414,52.18,Chhata,81
SONPAL,Bahujan Samaj Party,30131,83,30214,12.67,Chhata,81
PRAHALAD SINGH CHAUDHRY,Aam Aadmi Party,613,4,617,0.26,Chhata,81
SUBRATI KHAN,Aazad Samaj Party (Kanshi Ram),454,1,455,0.19,Chhata,81
ATUL,Independent,184,0,184,0.08,Chhata,81
KARAN SINGH,Independent,369,1,370,0.16,Chhata,81
TEJ SINGH,Independent,663,0,663,0.28,Chhata,81
RAJIV SHARMA,Independent,493,1,494,0.21,Chhata,81
LAKSHMINARAYAN,Independent,1858,1,1859,0.78,Chhata,81
NOTA,None of the Above,975,2,977,0.41,Chhata,81
Archana Pandey,Bharatiya Janata Party,124347,426,124773,44.31,Chhibramau,196
Arvind Singh Yadav,Samajwadi Party,122813,849,123662,43.91,Chhibramau,196
Waheeda Bano urf Juhi Sultan,Bahujan Samaj Party,21932,68,22000,7.81,Chhibramau,196
Vijay Kumar,Indian National Congress,1177,17,1194,0.42,Chhibramau,196
Arjuman,Bahujan Mukti Party,188,1,189,0.07,Chhibramau,196
Ankit Kumar Pal,Rashtriya Samaj Paksha,235,0,235,0.08,Chhibramau,196
Mohd Chandan,Jan Adhikar Party,4565,9,4574,1.62,Chhibramau,196
Dr Chandra Kant Yadav,Aam Aadmi Party,460,10,470,0.17,Chhibramau,196
Laloo Yadav,Voters Party  International,181,2,183,0.06,Chhibramau,196
Amol Dixit,Independent,230,1,231,0.08,Chhibramau,196
Imran Vegam,Independent,308,0,308,0.11,Chhibramau,196
Mohd. Kamar,Independent,196,0,196,0.07,Chhibramau,196
Nurul Shams,Independent,525,0,525,0.19,Chhibramau,196
Sanjay,Independent,1282,0,1282,0.46,Chhibramau,196
NOTA,None of the Above,1775,0,1775,0.63,Chhibramau,196
RAJENDRA SEHI,Bahujan Samaj Party,45527,202,45729,20.08,Chillupar,328
RAJESH TRIPATHI,Bharatiya Janata Party,96342,435,96777,42.49,Chillupar,328
VINAY SHANKAR,Samajwadi Party,74500,632,75132,32.98,Chillupar,328
SONIYA SHUKLA,Indian National Congress,1373,5,1378,0.6,Chillupar,328
CHINTAMANI PANDEY,Bharatiya Apna Samaj Party,469,1,470,0.21,Chillupar,328
POONAM GUPTA,Aazad Samaj Party (Kanshi Ram),3087,3,3090,1.36,Chillupar,328
RAVINDRA,Jan Adhikar Party,1664,4,1668,0.73,Chillupar,328
